"","Nodes_ID","ID","Year","Inhabitants","Parent_ID","Name","Alternative_Name","Links","Zoomlevel","Is_Settlement","Settlement_From","Settlement_To","Settlement_Description","Is_Town","Town_First_Mentioned","Town_To","Town_Description","Is_Fair","Fair_From","Fair_To","Fair_Description","Is_Toll","Toll_From","Toll_To","Toll_Description","Is_Bridge","Bridge_From","Bridge_To","Bridge_Description","Is_Staple","Staple_From","Staple_To","Staple_Duration_Of_Stay","Staple_Description","Is_Ferry","Ferry_From","Ferry_To","Ferry_Description","Is_Harbour","Harbour_From","Harbour_To","Harbour_Description","Is_Lock","Lock_From","Lock_To","Lock_Description","Ready","geometry"
"1",0,10,1400,5,"NULL","Göttingen","Gutingi; Guthingen; Guthinge; Gutinge; Gutingen; Guttingen; Gudingin; Gotinge; Gotingen; Ghotingen; Gothinge; Gottinghe; Gottingen","gn:2918632;wd:Q32518229;viaf:313003603",8,"y","953","NULL","First mentioned in 953 in a donation charter of Emperor Otto I to the monastery of St Maurice in Magdeburg.","y","1230","NULL","It is unknown when exactly the town rights were acquired, probably in the early 13th century. First mention as &quot;civitas&quot; around 1230.","y","1380","NULL","In G&ouml;ttingen trade regulations of the year 1398, four fairs are mentioned, taking place on St Walpurga, Corpus Christi, St James and St Simon and Juda. The Corpus Christi fair was founded in 1380.","y","953","NULL","Fee for safe conduct for commodities moved through town, owned by the Duke of Brunswick, and toll for all commodities sold and bought in G&ouml;ttingen, except those intended for the nobility and clerics, perishables and retail. Already in 1380, the height of the toll was defined by the civic council. Extensive toll registers exist from the first half of the 15th century. The toll was levied at the town gates.","","NULL","NULL","NULL","","NULL","NULL","NULL","NULL","","NULL","NULL","NULL","","NULL","NULL","NULL","","NULL","NULL","NULL","y",c(4316502.65384538, 3158017.76479875)
"2",0,14,1550,7,"NULL","Göttingen","Gutingi; Guthingen; Guthinge; Gutinge; Gutingen; Guttingen; Gudingin; Gotinge; Gotingen; Ghotingen; Gothinge; Gottinghe; Gottingen","gn:2918632;wd:Q32518229;viaf:313003603",8,"y","953","NULL","First mentioned in 953 in a donation charter of Emperor Otto I to the monastery of St Maurice in Magdeburg.","y","1230","NULL","It is unknown when exactly the town rights were acquired, probably in the early 13th century. First mention as &quot;civitas&quot; around 1230.","y","1380","NULL","In G&ouml;ttingen trade regulations of the year 1398, four fairs are mentioned, taking place on St Walpurga, Corpus Christi, St James and St Simon and Juda. The Corpus Christi fair was founded in 1380.","y","953","NULL","Fee for safe conduct for commodities moved through town, owned by the Duke of Brunswick, and toll for all commodities sold and bought in G&ouml;ttingen, except those intended for the nobility and clerics, perishables and retail. Already in 1380, the height of the toll was defined by the civic council. Extensive toll registers exist from the first half of the 15th century. The toll was levied at the town gates.","","NULL","NULL","NULL","","NULL","NULL","NULL","NULL","","NULL","NULL","NULL","","NULL","NULL","NULL","","NULL","NULL","NULL","y",c(4316502.65384538, 3158017.76479875)
"3",0,16,1600,7,"NULL","Göttingen","Gutingi; Guthingen; Guthinge; Gutinge; Gutingen; Guttingen; Gudingin; Gotinge; Gotingen; Ghotingen; Gothinge; Gottinghe; Gottingen","gn:2918632;wd:Q32518229;viaf:313003603",8,"y","953","NULL","First mentioned in 953 in a donation charter of Emperor Otto I to the monastery of St Maurice in Magdeburg.","y","1230","NULL","It is unknown when exactly the town rights were acquired, probably in the early 13th century. First mention as &quot;civitas&quot; around 1230.","y","1380","NULL","In G&ouml;ttingen trade regulations of the year 1398, four fairs are mentioned, taking place on St Walpurga, Corpus Christi, St James and St Simon and Juda. The Corpus Christi fair was founded in 1380.","y","953","NULL","Fee for safe conduct for commodities moved through town, owned by the Duke of Brunswick, and toll for all commodities sold and bought in G&ouml;ttingen, except those intended for the nobility and clerics, perishables and retail. Already in 1380, the height of the toll was defined by the civic council. Extensive toll registers exist from the first half of the 15th century. The toll was levied at the town gates.","","NULL","NULL","NULL","","NULL","NULL","NULL","NULL","","NULL","NULL","NULL","","NULL","NULL","NULL","","NULL","NULL","NULL","y",c(4316502.65384538, 3158017.76479875)
"4",0,8,1300,8,"NULL","Göttingen","Gutingi; Guthingen; Guthinge; Gutinge; Gutingen; Guttingen; Gudingin; Gotinge; Gotingen; Ghotingen; Gothinge; Gottinghe; Gottingen","gn:2918632;wd:Q32518229;viaf:313003603",8,"y","953","NULL","First mentioned in 953 in a donation charter of Emperor Otto I to the monastery of St Maurice in Magdeburg.","y","1230","NULL","It is unknown when exactly the town rights were acquired, probably in the early 13th century. First mention as &quot;civitas&quot; around 1230.","y","1380","NULL","In G&ouml;ttingen trade regulations of the year 1398, four fairs are mentioned, taking place on St Walpurga, Corpus Christi, St James and St Simon and Juda. The Corpus Christi fair was founded in 1380.","y","953","NULL","Fee for safe conduct for commodities moved through town, owned by the Duke of Brunswick, and toll for all commodities sold and bought in G&ouml;ttingen, except those intended for the nobility and clerics, perishables and retail. Already in 1380, the height of the toll was defined by the civic council. Extensive toll registers exist from the first half of the 15th century. The toll was levied at the town gates.","","NULL","NULL","NULL","","NULL","NULL","NULL","NULL","","NULL","NULL","NULL","","NULL","NULL","NULL","","NULL","NULL","NULL","y",c(4316502.65384538, 3158017.76479875)
"5",0,12,1500,7,"NULL","Göttingen","Gutingi; Guthingen; Guthinge; Gutinge; Gutingen; Guttingen; Gudingin; Gotinge; Gotingen; Ghotingen; Gothinge; Gottinghe; Gottingen","gn:2918632;wd:Q32518229;viaf:313003603",8,"y","953","NULL","First mentioned in 953 in a donation charter of Emperor Otto I to the monastery of St Maurice in Magdeburg.","y","1230","NULL","It is unknown when exactly the town rights were acquired, probably in the early 13th century. First mention as &quot;civitas&quot; around 1230.","y","1380","NULL","In G&ouml;ttingen trade regulations of the year 1398, four fairs are mentioned, taking place on St Walpurga, Corpus Christi, St James and St Simon and Juda. The Corpus Christi fair was founded in 1380.","y","953","NULL","Fee for safe conduct for commodities moved through town, owned by the Duke of Brunswick, and toll for all commodities sold and bought in G&ouml;ttingen, except those intended for the nobility and clerics, perishables and retail. Already in 1380, the height of the toll was defined by the civic council. Extensive toll registers exist from the first half of the 15th century. The toll was levied at the town gates.","","NULL","NULL","NULL","","NULL","NULL","NULL","NULL","","NULL","NULL","NULL","","NULL","NULL","NULL","","NULL","NULL","NULL","y",c(4316502.65384538, 3158017.76479875)
"6",0,18,1650,5,"NULL","Göttingen","Gutingi; Guthingen; Guthinge; Gutinge; Gutingen; Guttingen; Gudingin; Gotinge; Gotingen; Ghotingen; Gothinge; Gottinghe; Gottingen","gn:2918632;wd:Q32518229;viaf:313003603",8,"y","953","NULL","First mentioned in 953 in a donation charter of Emperor Otto I to the monastery of St Maurice in Magdeburg.","y","1230","NULL","It is unknown when exactly the town rights were acquired, probably in the early 13th century. First mention as &quot;civitas&quot; around 1230.","y","1380","NULL","In G&ouml;ttingen trade regulations of the year 1398, four fairs are mentioned, taking place on St Walpurga, Corpus Christi, St James and St Simon and Juda. The Corpus Christi fair was founded in 1380.","y","953","NULL","Fee for safe conduct for commodities moved through town, owned by the Duke of Brunswick, and toll for all commodities sold and bought in G&ouml;ttingen, except those intended for the nobility and clerics, perishables and retail. Already in 1380, the height of the toll was defined by the civic council. Extensive toll registers exist from the first half of the 15th century. The toll was levied at the town gates.","","NULL","NULL","NULL","","NULL","NULL","NULL","NULL","","NULL","NULL","NULL","","NULL","NULL","NULL","","NULL","NULL","NULL","y",c(4316502.65384538, 3158017.76479875)
"7",50,30,1650,4,"NULL","Einbeck","Embecka; Einbike; Enbiche; Enbike; Enbeka; Einbeche; Embeke; Embike; Eimbike; Enbyke; Eymbecke; Eymbeke; Eimbecke; Eimbek","gn:2931804;wd:Q31987379;wd:Q31987379",8,"y","1024","NULL","First mentioned in the time of Emperor Conrad II (1024-1039) as &quot;predium&quot; (estate) of count Udo of Katlenburg. The monastery of St Alexander was founded before 1085. South of it, a market settlement developed in the late 12th century.","y","1279","NULL","Einbeck was mentioned as &quot;civitas&quot; in 1203 und 1239. A council is first mentioned in 1252, a town wall in 1264, and a &quot;new&quot; market in 1266. Braunschweig town privileges were granted in 1279.","y","1252","NULL","","y","1417","NULL","The safe conduct in Einbeck was changed into a road and bridge fee in 1417.","","NULL","NULL","NULL","","NULL","NULL","NULL","NULL","","NULL","NULL","NULL","","NULL","NULL","NULL","NULL","NULL","NULL","NULL","y",c(4311827.52149516, 3189783.58466874)
"8",50,24,1500,7,"NULL","Einbeck","Embecka; Einbike; Enbiche; Enbike; Enbeka; Einbeche; Embeke; Embike; Eimbike; Enbyke; Eymbecke; Eymbeke; Eimbecke; Eimbek","gn:2931804;wd:Q31987379;wd:Q31987379",8,"y","1024","NULL","First mentioned in the time of Emperor Conrad II (1024-1039) as &quot;predium&quot; (estate) of count Udo of Katlenburg. The monastery of St Alexander was founded before 1085. South of it, a market settlement developed in the late 12th century.","y","1279","NULL","Einbeck was mentioned as &quot;civitas&quot; in 1203 und 1239. A council is first mentioned in 1252, a town wall in 1264, and a &quot;new&quot; market in 1266. Braunschweig town privileges were granted in 1279.","y","1252","NULL","","y","1417","NULL","The safe conduct in Einbeck was changed into a road and bridge fee in 1417.","","NULL","NULL","NULL","","NULL","NULL","NULL","NULL","","NULL","NULL","NULL","","NULL","NULL","NULL","NULL","NULL","NULL","NULL","y",c(4311827.52149516, 3189783.58466874)
"9",50,28,1600,4,"NULL","Einbeck","Embecka; Einbike; Enbiche; Enbike; Enbeka; Einbeche; Embeke; Embike; Eimbike; Enbyke; Eymbecke; Eymbeke; Eimbecke; Eimbek","gn:2931804;wd:Q31987379;wd:Q31987379",8,"y","1024","NULL","First mentioned in the time of Emperor Conrad II (1024-1039) as &quot;predium&quot; (estate) of count Udo of Katlenburg. The monastery of St Alexander was founded before 1085. South of it, a market settlement developed in the late 12th century.","y","1279","NULL","Einbeck was mentioned as &quot;civitas&quot; in 1203 und 1239. A council is first mentioned in 1252, a town wall in 1264, and a &quot;new&quot; market in 1266. Braunschweig town privileges were granted in 1279.","y","1252","NULL","","y","1417","NULL","The safe conduct in Einbeck was changed into a road and bridge fee in 1417.","","NULL","NULL","NULL","","NULL","NULL","NULL","NULL","","NULL","NULL","NULL","","NULL","NULL","NULL","NULL","NULL","NULL","NULL","y",c(4311827.52149516, 3189783.58466874)
"10",50,26,1550,5,"NULL","Einbeck","Embecka; Einbike; Enbiche; Enbike; Enbeka; Einbeche; Embeke; Embike; Eimbike; Enbyke; Eymbecke; Eymbeke; Eimbecke; Eimbek","gn:2931804;wd:Q31987379;wd:Q31987379",8,"y","1024","NULL","First mentioned in the time of Emperor Conrad II (1024-1039) as &quot;predium&quot; (estate) of count Udo of Katlenburg. The monastery of St Alexander was founded before 1085. South of it, a market settlement developed in the late 12th century.","y","1279","NULL","Einbeck was mentioned as &quot;civitas&quot; in 1203 und 1239. A council is first mentioned in 1252, a town wall in 1264, and a &quot;new&quot; market in 1266. Braunschweig town privileges were granted in 1279.","y","1252","NULL","","y","1417","NULL","The safe conduct in Einbeck was changed into a road and bridge fee in 1417.","","NULL","NULL","NULL","","NULL","NULL","NULL","NULL","","NULL","NULL","NULL","","NULL","NULL","NULL","NULL","NULL","NULL","NULL","y",c(4311827.52149516, 3189783.58466874)
