"","Sitio","Area","start","end"
"1","286",0.2,3449,3050
"2","99",0.3,3449,3050
"3","118",0.1,3449,3050
"4","41",0.2,3449,3050
"5","286",1.5,3049,2450
"6","313",0.1,3049,2450
"7","352",1.8,3049,2450
"8","334",0.2,3049,2450
"9","294",0.3,3049,2450
"10","346",0.3,3049,2450
"11","297",0.4,3049,2450
"12","391",1,3049,2450
"13","299",0.2,3049,2450
"14","414",2.5,3049,2450
"15","320",0.1,3049,2450
"16","308",0.2,3049,2450
"17","307",1.7,3049,2450
"18","304",3.2,3049,2450
"19","409",2.1,3049,2450
"20","305",1.8,3049,2450
"21","335",0.1,3049,2450
"22","413",3,3049,2450
"23","99",0.8,3049,2450
"24","342",0.1,3049,2450
"25","269",0.3,3049,2450
"26","80",0.1,3049,2450
"27","133",0.2,3049,2450
"28","102",0.2,3049,2450
"29","11",0.1,3049,2450
"30","129",0.4,3049,2450
"31","103",0.7,3049,2450
"32","139",2.1,3049,2450
"33","23",1.3,3049,2450
"34","49",0.5,3049,2450
"35","255",0.2,3049,2450
"36","254",0.8,3049,2450
"37","252",0.9,3049,2450
"38","48",0.1,3049,2450
"39","126",4.4,3049,2450
"40","27",1.1,3049,2450
"41","25",0.8,3049,2450
"42","29",0.9,3049,2450
"43","28",0.9,3049,2450
"44","44",0.2,3049,2450
"45","142",5.8,3049,2450
"46","43",0.4,3049,2450
"47","41",0.2,3049,2450
"48","140",0.1,3049,2450
"49","148",1.7,3049,2450
"50","58",0.6,3049,2450
"51","147",2.1,3049,2450
"52","163",0.2,3049,2450
"53","211",0.6,3049,2450
"54","225",0.1,3049,2450
"55","188",0.3,3049,2450
"56","164",2.4,3049,2450
"57","223",0.9,3049,2450
"58","198",1.1,3049,2450
"59","221",1.1,3049,2450
"60","341",2.1,2449,2050
"61","329",0.1,2449,2050
"62","286",36,2449,2050
"63","287",0.3,2449,2050
"64","405",4.6,2449,2050
"65","327",0.3,2449,2050
"66","246",0.4,2449,2050
"67","301",0.2,2449,2050
"68","313",0.4,2449,2050
"69","334",1.5,2449,2050
"70","294",0.3,2449,2050
"71","360",6.5,2449,2050
"72","297",0.1,2449,2050
"73","391",0.4,2449,2050
"74","414",3.2,2449,2050
"75","304",0.2,2449,2050
"76","409",0.3,2449,2050
"77","305",1.8,2449,2050
"78","335",0.1,2449,2050
"79","368",0.2,2449,2050
"80","413",0.8,2449,2050
"81","99",1.5,2449,2050
"82","269",0.3,2449,2050
"83","267",2.2,2449,2050
"84","231",0.2,2449,2050
"85","233",2,2449,2050
"86","118b",0.1,2449,2050
"87","230",1.8,2449,2050
"88","80",0.1,2449,2050
"89","133",2.4,2449,2050
"90","333",0.5,2449,2050
"91","401",0.2,2449,2050
"92","68",0.3,2449,2050
"93","212",0.3,2449,2050
"94","67",0.3,2449,2050
"95","235",0.2,2449,2050
"96","382",3.1,2449,2050
"97","383",0.6,2449,2050
"98","192",0.2,2449,2050
"99","177",1,2449,2050
"100","130",0.1,2449,2050
"101","87",0.1,2449,2050
"102","85",0.1,2449,2050
"103","178",0.9,2449,2050
"104","102",1.6,2449,2050
"105","11",0.1,2449,2050
"106","129",2.3,2449,2050
"107","103",2.8,2449,2050
"108","106",0.2,2449,2050
"109","139",2.9,2449,2050
"110","153",0.1,2449,2050
"111","22",0.1,2449,2050
"112","155",0.1,2449,2050
"113","159",0.4,2449,2050
"114","12",0.1,2449,2050
"115","200",0.1,2449,2050
"116","23",1.3,2449,2050
"117","238",2.1,2449,2050
"118","255",0.2,2449,2050
"119","254",0.8,2449,2050
"120","252",3.5,2449,2050
"121","48",0.1,2449,2050
"122","126",34,2449,2050
"123","253",0.4,2449,2050
"124","25",0.7,2449,2050
"125","270",1.3,2449,2050
"126","26",1.8,2449,2050
"127","29",0.9,2449,2050
"128","28",0.9,2449,2050
"129","284",0.5,2449,2050
"130","24",0.1,2449,2050
"131","128",0.2,2449,2050
"132","44",0.2,2449,2050
"133","142",8.9,2449,2050
"134","43",0.4,2449,2050
"135","41",0.8,2449,2050
"136","161",0.3,2449,2050
"137","148",1.7,2449,2050
"138","58",0.6,2449,2050
"139","180",0.1,2449,2050
"140","143",0.9,2449,2050
"141","144",1.1,2449,2050
"142","149",0.3,2449,2050
"143","147",2.1,2449,2050
"144","160",5.8,2449,2050
"145","199",0.3,2449,2050
"146","163",0.2,2449,2050
"147","211",0.6,2449,2050
"148","226",0.3,2449,2050
"149","220",0.1,2449,2050
"150","196",4.1,2449,2050
"151","168",0.9,2449,2050
"152","224",0.5,2449,2050
"153","188",0.3,2449,2050
"154","169",0.5,2449,2050
"155","165",0.5,2449,2050
"156","164",22.2,2449,2050
"157","223",0.9,2449,2050
"158","195",0.5,2449,2050
"159","198",1.5,2449,2050
"160","194",0.4,2449,2050
"161","221",2.8,2449,2050
"162","341",13.1,2049,1751
"163","329",0.1,2049,1751
"164","286",8.5,2049,1751
"165","406",0.4,2049,1751
"166","408",2.8,2049,1751
"167","358",10.6,2049,1751
"168","375",1.2,2049,1751
"169","407",0.3,2049,1751
"170","357",0.1,2049,1751
"171","376",4.1,2049,1751
"172","405",4.3,2049,1751
"173","354",0.3,2049,1751
"174","373",0.7,2049,1751
"175","359",0.4,2049,1751
"176","363",0.1,2049,1751
"177","327",0.1,2049,1751
"178","362",0.3,2049,1751
"179","246",5.3,2049,1751
"180","367",0.8,2049,1751
"181","371",0.8,2049,1751
"182","411",0.3,2049,1751
"183","917",0.2,2049,1751
"184","372",2,2049,1751
"185","412",2.1,2049,1751
"186","312",0.1,2049,1751
"187","352b",0.9,2049,1751
"188","310",0.2,2049,1751
"189","311",0.2,2049,1751
"190","334",2.7,2049,1751
"191","244",2.3,2049,1751
"192","353",0.5,2049,1751
"193","339",1.3,2049,1751
"194","232",5,2049,1751
"195","391",0.3,2049,1751
"196","886",6.2,2049,1751
"197","414",1.3,2049,1751
"198","242",0.3,2049,1751
"199","337",0.3,2049,1751
"200","95",0.4,2049,1751
"201","392",0.8,2049,1751
"202","309",0.1,2049,1751
"203","308b",0.4,2049,1751
"204","307b",1.9,2049,1751
"205","97",0.2,2049,1751
"206","304",2.7,2049,1751
"207","409",0.6,2049,1751
"208","305",1.8,2049,1751
"209","335",2.2,2049,1751
"210","915",0.8,2049,1751
"211","395",0.1,2049,1751
"212","368",0.4,2049,1751
"213","413",18.5,2049,1751
"214","321",0.3,2049,1751
"215","322",0.4,2049,1751
"216","63",1,2049,1751
"217","323",1,2049,1751
"218","326",0.5,2049,1751
"219","99",16.6,2049,1751
"220","93",0.1,2049,1751
"221","343",0.2,2049,1751
"222","342b",0.1,2049,1751
"223","96",0.1,2049,1751
"224","64",0.1,2049,1751
"225","316",0.7,2049,1751
"226","117",0.1,2049,1751
"227","331",0.1,2049,1751
"228","61",0.6,2049,1751
"229","332",1.2,2049,1751
"230","65",0.1,2049,1751
"231","133",1.5,2049,1751
