region,Year,total_change,total_change_normal,scaled_change
danish,1300,0,0,0
danish,1400,52,0.5200000000000001,0.6666666666666667
danish,1500,69,0.6900000000000002,0.8846153846153847
danish,1550,39,0.7800000000000001,1
danish,1600,32,0.6399999999999999,0.8205128205128203
danish,1650,37,0.74,0.9487179487179486
dutch,1300,0,0,0
dutch,1400,2469,24.689999999999984,0.8596796657381619
dutch,1500,2193,21.925000000000015,0.7634052924791099
dutch,1550,1049,20.98,0.7305013927576609
dutch,1600,1475,28.71999999999997,1
dutch,1650,1010,20.199999999999985,0.7033426183844013
germanic,1300,0,0,0
germanic,1400,2644,26.439999999999998,0.6724313326551369
germanic,1500,2716,27.159999999999997,0.6907426246185143
germanic,1550,1440,28.800000000000022,0.7324516785350969
germanic,1600,1640,32.79999999999999,0.8341810783316371
germanic,1650,1966,39.32000000000002,1
slavic,1300,0,0,0
slavic,1400,426,4.260000000000002,0.5883977900552491
slavic,1500,522,5.149999999999998,0.7113259668508287
slavic,1550,337,6.739999999999996,0.9309392265193369
slavic,1600,342,6.84,0.94475138121547
slavic,1650,362,7.239999999999997,1
Global,1300,0,0,0
Global,1400,16863,168.62999999999965,0.8399581589958138
Global,1500,17056,170.3200000000001,0.848376170551903
Global,1550,8998,179.95999999999978,0.8963937039250832
Global,1600,9746,192.53500000000003,0.9590306834030681
Global,1650,10038,200.76000000000008,1
