id,name,group,first_year,last_year,max_size,n_periods,duration
0,Göttingen,germanic,1250.0,1675.0,8000.0,6,425.0
1017,Bydgoszcz,slavic,1250.0,1675.0,5000.0,6,425.0
10318,Schmalkalden,germanic,1250.0,1675.0,2000.0,6,425.0
1036,Brugge,dutch,1250.0,1675.0,40000.0,6,425.0
1050,Brussel,dutch,1250.0,1675.0,63000.0,6,425.0
10539,Odense,danish,1250.0,1675.0,5000.0,6,425.0
10545,Svendborg,danish,1250.0,1675.0,2000.0,6,425.0
10547,Weimar,germanic,1250.0,1675.0,5000.0,6,425.0
10688,Lund,danish,1250.0,1675.0,2000.0,6,425.0
10698,Malmö,danish,1250.0,1675.0,5000.0,6,425.0
1127,Burg (bei Magdeburg),germanic,1250.0,1675.0,3000.0,6,425.0
11709,Roskilde,danish,1250.0,1675.0,8000.0,6,425.0
1177,Celle,germanic,1250.0,1675.0,3000.0,6,425.0
11861,Edam,dutch,1250.0,1675.0,5000.0,6,425.0
11862,Alkmaar,dutch,1250.0,1675.0,14000.0,6,425.0
11875,Potsdam,germanic,1250.0,1675.0,1000.0,6,425.0
1190,Chemnitz,germanic,1250.0,1675.0,5000.0,6,425.0
11913,Goes,dutch,1250.0,1675.0,3000.0,6,425.0
11915,Zierikzee,dutch,1250.0,1675.0,11000.0,6,425.0
11918,Helmond,dutch,1250.0,1675.0,3000.0,6,425.0
1234,Clausthal,germanic,1450.0,1675.0,4000.0,4,225.0
1238,Coburg,germanic,1250.0,1675.0,4000.0,6,425.0
1239,Coesfeld,dutch,1250.0,1675.0,2000.0,6,425.0
1251,Cottbus,germanic,1250.0,1675.0,4000.0,6,425.0
12882,Bottrop,dutch,1350.0,1675.0,1000.0,5,325.0
132,Olsztyn,slavic,1350.0,1675.0,1000.0,5,325.0
1333,Gdańsk,slavic,1250.0,1675.0,45000.0,6,425.0
1374,Delft,dutch,1250.0,1675.0,25000.0,6,425.0
1388,Dendermonde,dutch,1250.0,1675.0,9000.0,6,425.0
1401,Dessau,germanic,1250.0,1675.0,4000.0,6,425.0
1417,Deventer,dutch,1250.0,1675.0,8000.0,6,425.0
1436,Diest,dutch,1250.0,1675.0,6000.0,6,425.0
1444,Dinant,dutch,1250.0,1675.0,6000.0,6,425.0
1467,Döbeln,germanic,1250.0,1675.0,2000.0,6,425.0
1521,Dordrecht,dutch,1250.0,1675.0,20000.0,6,425.0
1537,Tartu,germanic,1250.0,1675.0,5000.0,6,425.0
1545,Dortmund,germanic,1250.0,1675.0,9000.0,6,425.0
1570,Dresden,germanic,1250.0,1675.0,22000.0,6,425.0
1611,Duisburg,dutch,1250.0,1675.0,3000.0,6,425.0
1619,Daugavpils,germanic,1575.0,1675.0,1000.0,2,100.0
1633,Düren,dutch,1250.0,1675.0,4000.0,6,425.0
1639,Düsseldorf,dutch,1250.0,1675.0,7000.0,6,425.0
1682,Eeklo,dutch,1250.0,1675.0,4000.0,6,425.0
1687,Cheb,germanic,1250.0,1675.0,6000.0,6,425.0
1721,Eilenburg,germanic,1250.0,1675.0,2000.0,6,425.0
1728,Eindhoven,dutch,1250.0,1675.0,2000.0,6,425.0
1737,Eisenach,germanic,1250.0,1675.0,6000.0,6,425.0
1741,Lutherstadt Eisleben,germanic,1250.0,1675.0,9000.0,6,425.0
1748,Elberfeld,dutch,1250.0,1675.0,3000.0,6,425.0
1750,Elbląg,slavic,1250.0,1675.0,15000.0,6,425.0
17567,Ieper,dutch,1250.0,1675.0,11000.0,6,425.0
17568,Mons,dutch,1250.0,1675.0,16000.0,6,425.0
17569,Kortrijk,dutch,1250.0,1675.0,10000.0,6,425.0
17570,Nieuwpoort (Vlaanderen),dutch,1250.0,1675.0,6000.0,6,425.0
17571,Lens,dutch,1250.0,1675.0,1000.0,6,425.0
17573,Poperinge,dutch,1250.0,1675.0,4000.0,6,425.0
17574,Oostende,dutch,1250.0,1675.0,6000.0,6,425.0
17578,Geraardsbergen ,dutch,1250.0,1675.0,5000.0,6,425.0
17582,Valenciennes,dutch,1250.0,1675.0,17000.0,6,425.0
17588,Lille,dutch,1250.0,1675.0,45000.0,6,425.0
17589,Torhout,dutch,1250.0,1675.0,2000.0,6,425.0
17592,Sint-Niklaas,dutch,1250.0,1675.0,3000.0,5,425.0
17594,Roeselare,dutch,1250.0,1675.0,4000.0,6,425.0
17596,Soignies,dutch,1250.0,1675.0,3000.0,6,425.0
17598,Enghien,dutch,1250.0,1675.0,5000.0,6,425.0
17605,Arras,dutch,1250.0,1675.0,30000.0,6,425.0
17606,Bailleul,dutch,1250.0,1675.0,2000.0,6,425.0
17608,Hondschoote,dutch,1250.0,1675.0,12000.0,6,425.0
17610,Condé-sur-l&#39;Escaut,dutch,1250.0,1675.0,2000.0,6,425.0
17611,Douai,dutch,1250.0,1675.0,12000.0,6,425.0
17612,Veurne,dutch,1250.0,1675.0,2000.0,6,425.0
17620,Tielt,dutch,1250.0,1675.0,2000.0,6,425.0
17622,Dunkerque,dutch,1250.0,1675.0,11000.0,6,425.0
17625,Saint-Omer,dutch,1250.0,1675.0,11000.0,6,425.0
17627,Menen,dutch,1250.0,1675.0,3000.0,6,425.0
17630,Comines,dutch,1250.0,1675.0,2000.0,6,425.0
17632,Tournai,dutch,1250.0,1675.0,40000.0,6,425.0
17633,Oudenaarde,dutch,1250.0,1675.0,7000.0,6,425.0
17634,Bergues,dutch,1250.0,1675.0,2000.0,6,425.0
17635,Tourcoing,dutch,1250.0,1675.0,9000.0,6,425.0
17670,Ath,dutch,1250.0,1675.0,5000.0,6,425.0
17672,Cambrai,dutch,1250.0,1675.0,12000.0,6,425.0
17673,Le Cateau-Cambrésis,dutch,1250.0,1675.0,2000.0,6,425.0
17674,Béthune,dutch,1250.0,1675.0,4000.0,6,425.0
17677,Armentières,dutch,1250.0,1675.0,3000.0,6,425.0
17683,Bourbourg,dutch,1250.0,1675.0,2000.0,6,425.0
17685,Binche,dutch,1250.0,1675.0,2000.0,6,425.0
17705,Temse,dutch,1250.0,1675.0,3000.0,6,425.0
17715,Arlon,germanic,1250.0,1675.0,2000.0,6,425.0
17734,Eupen,dutch,1250.0,1675.0,3000.0,6,425.0
1790,Emden,germanic,1250.0,1675.0,15000.0,6,425.0
1793,Emmerich,dutch,1250.0,1675.0,5000.0,6,425.0
1811,Enkhuizen,dutch,1250.0,1675.0,20000.0,6,425.0
18118,Turku,germanic,1250.0,1675.0,4000.0,6,425.0
18124,Helsinki,germanic,1525.0,1675.0,1000.0,3,150.0
18125,Pori,germanic,1575.0,1675.0,1000.0,2,100.0
18126,Oulu,germanic,1575.0,1675.0,1000.0,2,100.0
1813,Enschede,dutch,1250.0,1675.0,1000.0,6,425.0
1826,Erfurt,germanic,1250.0,1675.0,19000.0,6,425.0
1831,Erlangen,germanic,1250.0,1675.0,1000.0,6,425.0
18426,Oppenheim,germanic,1250.0,1675.0,5000.0,6,425.0
18436,Worms,germanic,1250.0,1675.0,17000.0,6,425.0
18508,Bad Kreuznach,germanic,1250.0,1675.0,4000.0,6,425.0
1858,Eschweiler,dutch,1250.0,1675.0,2000.0,6,425.0
186,Altenburg ,germanic,1250.0,1675.0,5000.0,6,425.0
1865,Essen,dutch,1250.0,1675.0,3000.0,6,425.0
18662,Heidelberg,germanic,1250.0,1675.0,10000.0,6,425.0
18686,Darmstadt,germanic,1250.0,1675.0,2000.0,6,425.0
18726,Mannheim,germanic,1250.0,1675.0,4000.0,6,425.0
19197,Ronse,dutch,1250.0,1675.0,4000.0,6,425.0
1962,Flensburg,danish,1250.0,1675.0,6000.0,6,425.0
1983,Frjentsjer,dutch,1250.0,1675.0,4000.0,6,425.0
1987,Frankfurt am Main,germanic,1250.0,1675.0,24000.0,6,425.0
1988,Frankfurt (Oder),slavic,1250.0,1675.0,13000.0,6,425.0
1997,Wschowa,slavic,1250.0,1675.0,2000.0,6,425.0
