"start","end","median","mean","max","q10","q90"
300,131,0.85,1.65833333333333,7.6,0.1,4.71
430,301,0.1,0.1,0.1,0.1,0.1
510,431,0.5,3.77233502538071,122.5,0.1,6.16
650,511,0.4,3.1106936416185,84.3,0.1,7.14
800,651,0.5,2.17313432835821,33.4,0.1,3.8
1100,801,0.4,2.1777027027027,54.7,0.1,5.23
1350,1101,0.7,2.63482142857143,36.1,0.1,6.13
1500,1351,0.5,1.30522875816993,16.8,0.1,2.6
1650,1501,0.7,3.59184549356223,78.8,0.1,9.88
1750,1651,0.7,3.61204819277108,80.4,0.1,9.82
2049,1751,0.7,1.86242774566474,19.7,0.1,5.54
2449,2050,0.5,1.93823529411765,36,0.1,3.08
3049,2450,0.6,1.00363636363636,5.8,0.1,2.28
3449,3050,0.2,0.2,0.3,0.13,0.27
