"start_bp","end_bp","total","urban_40","urban_20","perc_40","perc_20","n"
300,131,19.9,0,0,0,0,12
430,301,0.1,0,0,0,0,1
510,431,743.15,292.2,455.1,39.3191145798291,61.2393191145798,197
650,511,538.15,84.3,251.1,15.6647774783982,46.6598532007805,173
800,651,291.2,0,149.6,0,51.3736263736264,134
1100,801,322.3,54.7,133,16.9717654359293,41.2659013341607,148
1350,1101,295.1,0,118.5,0,40.1558793629278,112
1500,1351,199.7,0,0,0,0,153
1650,1501,836.9,190.3,306,22.7386784562074,36.5635081849683,233
1750,1651,899.4,197.7,395.5,21.9813208805871,43.9737602846342,249
2049,1751,322.2,0,0,0,0,173
2449,2050,197.7,0,92.2,0,46.6363176530096,102
3049,2450,55.2,0,0,0,0,55
3449,3050,0.8,0,0,0,0,4
