id,name,group,first_year,last_year,max_size,n_periods,duration
1,1,,-99.0,1149.0,16.7,6,1248.0
10,10,,450.0,599.0,0.1,1,149.0
100,100,,-99.0,449.0,0.3,3,548.0
100b,100b,,1150.0,1299.0,0.3,1,149.0
101,101,,-99.0,599.0,0.9,4,698.0
102,102,,-1099.0,-100.0,1.6,2,999.0
102b,102b,,200.0,449.0,0.1,2,249.0
103,103,,-1099.0,599.0,2.8,6,1698.0
103b,103b,,850.0,1149.0,0.7,1,299.0
104,104,,-99.0,1149.0,0.5,6,1248.0
105,105,,-99.0,599.0,0.1,4,698.0
106,106,,-499.0,599.0,0.5,5,1098.0
106b,106b,,850.0,1149.0,0.3,1,299.0
106c,106c,,1440.0,1519.0,0.3,1,79.0
107,107,,200.0,599.0,1.8,3,399.0
107b,107b,,1150.0,1519.0,11.4,3,369.0
108,108,,200.0,599.0,2.6,3,399.0
108b,108b,,1300.0,1519.0,28.3,2,219.0
11,11,,-1099.0,1149.0,2.1,8,2248.0
110,110,,1300.0,1519.0,0.1,2,219.0
111,111,,1300.0,1519.0,0.1,2,219.0
112,112,,200.0,449.0,0.3,2,249.0
112b,112b,,850.0,1149.0,0.3,1,299.0
112c,112c,,1300.0,1519.0,0.7,2,219.0
113,113,,600.0,849.0,0.9,1,249.0
113b,113b,,1150.0,1299.0,0.5,1,149.0
114,114,,1150.0,1299.0,0.1,1,149.0
115,115,,200.0,599.0,0.1,3,399.0
115b,115b,,1150.0,1299.0,0.1,1,149.0
116,116,,200.0,599.0,0.1,3,399.0
117,117,,-99.0,449.0,0.1,3,548.0
118,118,,-1499.0,-1100.0,0.1,1,399.0
118b,118b,,-499.0,-100.0,0.1,1,399.0
118c,118c,,200.0,599.0,0.9,3,399.0
118d,118d,,1150.0,1519.0,0.8,3,369.0
119,119,,1150.0,1519.0,0.2,3,369.0
12,12,,-499.0,1149.0,14.6,7,1648.0
120,120,,1300.0,1519.0,1.0,2,219.0
121,121,,1300.0,1519.0,0.5,2,219.0
122,122,,850.0,1519.0,0.5,4,669.0
123,123,,-99.0,599.0,0.1,4,698.0
123b,123b,,1300.0,1519.0,0.4,2,219.0
124,124,,600.0,1519.0,0.3,5,919.0
