t_start,t_end,midpoint,label,median,mean,max,min,n,q10,q90
-1499.0,-1100.0,-1299.5,3449-3050 BP,0.2,0.2,0.3,0.1,4,0.13,0.27
-1099.0,-500.0,-799.5,3049-2450 BP,0.6,1.0036363636363637,5.8,0.1,55,0.1,2.2800000000000002
-499.0,-100.0,-299.5,2449-2050 BP,0.5,1.938235294117647,36.0,0.1,102,0.1,3.0800000000000014
-99.0,199.0,50.0,2049-1751 BP,0.7,1.8624277456647398,19.7,0.1,173,0.1,5.540000000000003
200.0,299.0,249.5,1750-1651 BP,0.7,3.612048192771084,80.4,0.1,249,0.1,9.820000000000002
300.0,449.0,374.5,1650-1501 BP,0.7,3.5918454935622317,78.8,0.1,233,0.1,9.88
450.0,599.0,524.5,1500-1351 BP,0.5,1.3052287581699347,16.8,0.1,153,0.1,2.6
600.0,849.0,724.5,1350-1101 BP,0.7,2.6348214285714286,36.1,0.1,112,0.1,6.130000000000004
850.0,1149.0,999.5,1100-801 BP,0.4,2.1777027027027027,54.7,0.1,148,0.1,5.230000000000001
1150.0,1299.0,1224.5,800-651 BP,0.5,2.1731343283582087,33.4,0.1,134,0.1,3.8
1300.0,1439.0,1369.5,650-511 BP,0.4,3.110693641618497,84.3,0.05,173,0.1,7.140000000000003
1440.0,1519.0,1479.5,510-431 BP,0.5,3.7723350253807104,122.5,0.05,197,0.1,6.160000000000003
1520.0,1649.0,1584.5,430-301 BP,0.1,0.1,0.1,0.1,1,0.1,0.1
1650.0,1819.0,1734.5,300-131 BP,0.85,1.6583333333333332,7.6,0.1,12,0.1,4.710000000000001
