t_start,t_end,midpoint,label,total_size,n_settlements
-1499.0,-1100.0,-1299.5,3449-3050 BP,0.8,4
-1099.0,-500.0,-799.5,3049-2450 BP,55.2,55
-499.0,-100.0,-299.5,2449-2050 BP,197.7,102
-99.0,199.0,50.0,2049-1751 BP,322.2,173
200.0,299.0,249.5,1750-1651 BP,899.4,249
300.0,449.0,374.5,1650-1501 BP,836.9,233
450.0,599.0,524.5,1500-1351 BP,199.70000000000002,153
600.0,849.0,724.5,1350-1101 BP,295.1,112
850.0,1149.0,999.5,1100-801 BP,322.3,148
1150.0,1299.0,1224.5,800-651 BP,291.2,134
1300.0,1439.0,1369.5,650-511 BP,538.15,173
1440.0,1519.0,1479.5,510-431 BP,743.15,197
1520.0,1649.0,1584.5,430-301 BP,0.1,1
1650.0,1819.0,1734.5,300-131 BP,19.9,12
