t_start,t_end,midpoint,label,total_size,n_settlements,urban_20,n_urban_20,percent_20,urban_40,n_urban_40,percent_40
-1499.0,-1100.0,-1299.5,3449-3050 BP,0.8,4,0.0,0,0.0,0.0,0,0.0
-1099.0,-500.0,-799.5,3049-2450 BP,55.2,55,0.0,0,0.0,0.0,0,0.0
-499.0,-100.0,-299.5,2449-2050 BP,197.70000000000002,102,92.2,3,46.636317653009606,0.0,0,0.0
-99.0,199.0,50.0,2049-1751 BP,322.20000000000005,173,0.0,0,0.0,0.0,0,0.0
200.0,299.0,249.5,1750-1651 BP,899.4000000000001,249,395.5,10,43.973760284634196,197.7,3,21.981320880587056
300.0,449.0,374.5,1650-1501 BP,836.9000000000001,233,306.0,7,36.56350818496833,190.3,3,22.73867845620743
450.0,599.0,524.5,1500-1351 BP,199.7,153,0.0,0,0.0,0.0,0,0.0
600.0,849.0,724.5,1350-1101 BP,295.09999999999997,112,118.5,4,40.15587936292783,0.0,0,0.0
850.0,1149.0,999.5,1100-801 BP,322.30000000000007,148,133.0,4,41.26590133416071,54.7,1,16.971765435929257
1150.0,1299.0,1224.5,800-651 BP,291.20000000000005,134,149.6,5,51.373626373626365,0.0,0,0.0
1300.0,1439.0,1369.5,650-511 BP,538.1500000000001,173,251.10000000000002,7,46.65985320078045,84.3,1,15.664777478398213
1440.0,1519.0,1479.5,510-431 BP,743.15,197,455.1,9,61.239319114579835,292.2,3,39.319114579829105
1520.0,1649.0,1584.5,430-301 BP,0.1,1,0.0,0,0.0,0.0,0,0.0
1650.0,1819.0,1734.5,300-131 BP,19.900000000000002,12,0.0,0,0.0,0.0,0,0.0
